Date,Year,Month,Weekday,WeekOfYear,Quarter
2024-07-14 16:30:47,2024,July,Sunday,28,3
2024-07-15 16:30:47,2024,July,Monday,29,3
2024-07-16 16:30:47,2024,July,Tuesday,29,3
2024-07-17 16:30:47,2024,July,Wednesday,29,3
2024-07-18 16:30:47,2024,July,Thursday,29,3
2024-07-19 16:30:47,2024,July,Friday,29,3
2024-07-20 16:30:47,2024,July,Saturday,29,3
2024-07-21 16:30:47,2024,July,Sunday,29,3
2024-07-22 16:30:47,2024,July,Monday,30,3
2024-07-23 16:30:47,2024,July,Tuesday,30,3
2024-07-24 16:30:47,2024,July,Wednesday,30,3
2024-07-25 16:30:47,2024,July,Thursday,30,3
2024-07-26 16:30:47,2024,July,Friday,30,3
2024-07-27 16:30:47,2024,July,Saturday,30,3
2024-07-28 16:30:47,2024,July,Sunday,30,3
2024-07-29 16:30:47,2024,July,Monday,31,3
2024-07-30 16:30:47,2024,July,Tuesday,31,3
2024-07-31 16:30:47,2024,July,Wednesday,31,3
2024-08-01 16:30:47,2024,August,Thursday,31,3
2024-08-02 16:30:47,2024,August,Friday,31,3
2024-08-03 16:30:47,2024,August,Saturday,31,3
2024-08-04 16:30:47,2024,August,Sunday,31,3
2024-08-05 16:30:47,2024,August,Monday,32,3
2024-08-06 16:30:47,2024,August,Tuesday,32,3
2024-08-07 16:30:47,2024,August,Wednesday,32,3
2024-08-08 16:30:47,2024,August,Thursday,32,3
2024-08-09 16:30:47,2024,August,Friday,32,3
2024-08-10 16:30:47,2024,August,Saturday,32,3
2024-08-11 16:30:47,2024,August,Sunday,32,3
2024-08-12 16:30:47,2024,August,Monday,33,3
2024-08-13 16:30:47,2024,August,Tuesday,33,3
2024-08-14 16:30:47,2024,August,Wednesday,33,3
2024-08-15 16:30:47,2024,August,Thursday,33,3
2024-08-16 16:30:47,2024,August,Friday,33,3
2024-08-17 16:30:47,2024,August,Saturday,33,3
2024-08-18 16:30:47,2024,August,Sunday,33,3
2024-08-19 16:30:47,2024,August,Monday,34,3
2024-08-20 16:30:47,2024,August,Tuesday,34,3
2024-08-21 16:30:47,2024,August,Wednesday,34,3
2024-08-22 16:30:47,2024,August,Thursday,34,3
2024-08-23 16:30:47,2024,August,Friday,34,3
2024-08-24 16:30:47,2024,August,Saturday,34,3
2024-08-25 16:30:47,2024,August,Sunday,34,3
2024-08-26 16:30:47,2024,August,Monday,35,3
2024-08-27 16:30:47,2024,August,Tuesday,35,3
2024-08-28 16:30:47,2024,August,Wednesday,35,3
